model,fpr,tpr
KNN,0.0,0.0
KNN,0.036585365853658534,0.37254901960784315
KNN,0.08536585365853659,0.6372549019607843
KNN,0.14634146341463414,0.8137254901960784
KNN,0.2073170731707317,0.8921568627450981
KNN,0.32926829268292684,0.9411764705882353
KNN,0.3902439024390244,0.9803921568627451
KNN,0.6707317073170732,0.9901960784313726
KNN,1.0,1.0
Logistic Regression,0.0,0.0
Logistic Regression,0.0,0.00980392156862745
Logistic Regression,0.0,0.3235294117647059
Logistic Regression,0.012195121951219513,0.3235294117647059
Logistic Regression,0.012195121951219513,0.39215686274509803
Logistic Regression,0.024390243902439025,0.39215686274509803
Logistic Regression,0.024390243902439025,0.4411764705882353
Logistic Regression,0.036585365853658534,0.4411764705882353
Logistic Regression,0.036585365853658534,0.45098039215686275
Logistic Regression,0.04878048780487805,0.45098039215686275
Logistic Regression,0.04878048780487805,0.49019607843137253
Logistic Regression,0.06097560975609756,0.49019607843137253
Logistic Regression,0.06097560975609756,0.5686274509803921
Logistic Regression,0.07317073170731707,0.5686274509803921
Logistic Regression,0.07317073170731707,0.6764705882352942
Logistic Regression,0.08536585365853659,0.6764705882352942
Logistic Regression,0.08536585365853659,0.7254901960784313
Logistic Regression,0.0975609756097561,0.7254901960784313
Logistic Regression,0.0975609756097561,0.7843137254901961
Logistic Regression,0.12195121951219512,0.7843137254901961
Logistic Regression,0.12195121951219512,0.7941176470588235
Logistic Regression,0.13414634146341464,0.7941176470588235
Logistic Regression,0.13414634146341464,0.803921568627451
Logistic Regression,0.14634146341463414,0.803921568627451
Logistic Regression,0.14634146341463414,0.8333333333333334
Logistic Regression,0.17073170731707318,0.8333333333333334
Logistic Regression,0.17073170731707318,0.8431372549019608
Logistic Regression,0.2073170731707317,0.8431372549019608
Logistic Regression,0.2073170731707317,0.8627450980392157
Logistic Regression,0.23170731707317074,0.8627450980392157
Logistic Regression,0.23170731707317074,0.8725490196078431
Logistic Regression,0.24390243902439024,0.8725490196078431
Logistic Regression,0.24390243902439024,0.8921568627450981
Logistic Regression,0.25609756097560976,0.8921568627450981
Logistic Regression,0.25609756097560976,0.9215686274509803
Logistic Regression,0.2682926829268293,0.9215686274509803
Logistic Regression,0.2682926829268293,0.9411764705882353
Logistic Regression,0.2926829268292683,0.9411764705882353
Logistic Regression,0.2926829268292683,0.9509803921568627
Logistic Regression,0.3048780487804878,0.9509803921568627
Logistic Regression,0.3048780487804878,0.9607843137254902
Logistic Regression,0.47560975609756095,0.9607843137254902
Logistic Regression,0.47560975609756095,0.9705882352941176
Logistic Regression,0.524390243902439,0.9705882352941176
Logistic Regression,0.524390243902439,0.9803921568627451
Logistic Regression,0.5609756097560976,0.9803921568627451
Logistic Regression,0.5609756097560976,0.9901960784313726
Logistic Regression,0.6219512195121951,0.9901960784313726
Logistic Regression,0.6219512195121951,1.0
Logistic Regression,1.0,1.0
Decision Tree,0.0,0.0
Decision Tree,0.2926829268292683,0.803921568627451
Decision Tree,1.0,1.0
Random Forest,0.0,0.0
Random Forest,0.0,0.00980392156862745
Random Forest,0.0,0.1568627450980392
Random Forest,0.012195121951219513,0.1568627450980392
Random Forest,0.012195121951219513,0.2549019607843137
Random Forest,0.024390243902439025,0.2549019607843137
Random Forest,0.024390243902439025,0.3333333333333333
Random Forest,0.036585365853658534,0.3333333333333333
Random Forest,0.036585365853658534,0.5
Random Forest,0.04878048780487805,0.5
Random Forest,0.04878048780487805,0.5980392156862745
Random Forest,0.08536585365853659,0.5980392156862745
Random Forest,0.08536585365853659,0.7254901960784313
Random Forest,0.0975609756097561,0.7254901960784313
Random Forest,0.0975609756097561,0.7352941176470589
Random Forest,0.10975609756097561,0.7352941176470589
Random Forest,0.10975609756097561,0.7549019607843137
Random Forest,0.12195121951219512,0.7549019607843137
Random Forest,0.12195121951219512,0.7647058823529411
Random Forest,0.13414634146341464,0.7647058823529411
Random Forest,0.13414634146341464,0.7843137254901961
Random Forest,0.15853658536585366,0.7843137254901961
Random Forest,0.15853658536585366,0.803921568627451
Random Forest,0.1951219512195122,0.803921568627451
Random Forest,0.1951219512195122,0.8235294117647058
Random Forest,0.2073170731707317,0.8235294117647058
Random Forest,0.2073170731707317,0.8529411764705882
Random Forest,0.21951219512195122,0.8529411764705882
Random Forest,0.21951219512195122,0.8627450980392157
Random Forest,0.25609756097560976,0.8627450980392157
Random Forest,0.25609756097560976,0.8823529411764706
Random Forest,0.2804878048780488,0.8823529411764706
Random Forest,0.2804878048780488,0.9019607843137255
Random Forest,0.3048780487804878,0.9019607843137255
Random Forest,0.3048780487804878,0.9117647058823529
Random Forest,0.35365853658536583,0.9117647058823529
Random Forest,0.35365853658536583,0.9215686274509803
Random Forest,0.36585365853658536,0.9215686274509803
Random Forest,0.36585365853658536,0.9313725490196079
Random Forest,0.3780487804878049,0.9313725490196079
Random Forest,0.3780487804878049,0.9901960784313726
Random Forest,0.5487804878048781,0.9901960784313726
Random Forest,0.5487804878048781,1.0
Random Forest,1.0,1.0
